Date,Close,High,Low,Open,Volume,sentiment_daily,finbert_daily,article_count,return,log_return,ma5,ma10,ma20,volatility,momentum_3,momentum_7,price_range,volume_change,rsi,macd,macd_signal,macd_hist,finbert_lag1,finbert_lag2,finbert_lag3,finbert_roll3,sentiment_lag1,sentiment_lag2,trend,future_return,target,return_1,return_3,return_7,ema_10,ema_20,volume_ratio,rolling_std_5,rolling_std_10,momentum_5,probability,signal,confidence_percent,confidence_level,signal_shifted,strat_base,strat_trend,strat_rsi,cum_market,cum_base,cum_trend,cum_rsi
2022-05-31,1197.8873291015625,1218.886133257268,1190.1749097343077,1201.8686470065388,70620653,-0.6848,0.0,1.0,-0.012064816310028093,0.0,1189.551611328125,1180.1669677734376,1162.9390563964844,0.019126821432854837,0.01760651013117065,0.003124447995446644,0.02396821706470034,4.097713427420478,65.77748001925173,2.16233042100248,-3.5821616242906735,5.744492045293153,0.0,0.0,0.0,0.0,-0.6848,-0.6848,1,0.05578037424082295,1,-0.012064816310028093,0.01760651013117065,0.003124447995446644,1182.0262995960247,1178.4899094806578,3.2978397467465546,16.356294237902123,23.948889285118547,7.6441650390625,0.45913429048964877,BUY,54.09,High,HOLD,0.0,0.0,0.0,1.0,1.0,1.0,1.0
2022-06-01,1198.2742919921875,1208.1480337988985,1190.402522676765,1198.638243225424,9776989,-0.6848,0.0,1.0,0.00032303780265818816,0.00032298563718119336,1191.5081787109375,1184.4964233398437,1161.5706176757812,0.019075637148472286,0.022678773597633484,0.010203751896654012,0.014809222930611859,-0.8615562362472067,72.00191426038448,3.4407321037042493,-2.1775828786916893,5.618314982395939,0.0,0.0,0.0,0.0,-0.6848,-0.6848,1,0.05090175354918669,1,0.00032303780265818816,0.022678773597633484,0.010203751896654012,1184.9804800316906,1180.3741363865179,0.473135755194281,16.777469206220346,22.774206631836222,9.7828369140625,0.34996530036151086,HOLD,65.0,Medium,BUY,0.00032298563718119336,0.00032298563718119336,0.0,1.0003230378026582,1.0003230378026582,1.0003230378026582,1.0
2022-06-02,1239.5892333984375,1243.2975879303071,1198.5016232049925,1198.5016232049925,22126569,-0.6848,0.0,1.0,0.03447870131433928,0.03389762960518467,1203.993701171875,1195.619189453125,1163.468017578125,0.02241079849652007,0.022328049764158253,0.04145881348102942,0.03613774911750627,1.2631271243119944,74.99163315413473,7.698897043029547,-0.2022868943474423,7.901183937376989,0.0,0.0,0.0,0.0,-0.6848,-0.6848,1,0.017784447914097046,0,0.03447870131433928,0.022328049764158253,0.04145881348102942,1194.90934428019,1186.013669435272,1.0336146273926068,24.761142141715194,19.191772960499424,62.4276123046875,0.2604781165071476,HOLD,73.95,Medium,HOLD,0.0,0.0,0.0,1.0348128770409086,1.0003230378026582,1.0003230378026582,1.0
2022-06-03,1264.7059326171875,1281.9281427980586,1247.642951094485,1248.5530698496407,23939791,-0.6848,0.0,1.0,0.02026211469253436,0.02005956947247054,1222.594580078125,1202.6741577148437,1167.0819519042968,0.020897331362968723,0.05578037424082294,0.0641270723600218,0.0271092202695877,0.08194772537938433,77.09168869643014,12.950940770286934,2.428358638579433,10.522582131707502,0.0,0.0,0.0,0.0,-0.6848,-0.6848,1,-0.019949575651531673,0,0.02026211469253436,0.05578037424082294,0.0641270723600218,1207.599633068735,1193.5081706906924,1.1072138139606387,29.007259481569506,29.036432023200078,93.00439453125,0.2228322313325689,HOLD,77.72,Medium,HOLD,0.0,0.0,0.0,1.055780374240823,1.0003230378026582,1.0003230378026582,1.0
2022-06-06,1259.2685546875,1280.4038420032741,1252.102061607887,1264.9335082984549,11093152,-0.6848,0.0,1.0,-0.004299321913067478,-0.004308590573032019,1231.945068359375,1209.9839233398438,1172.7525390625,0.0191307922847662,0.05090175354918669,0.06974992398873914,0.0224747773539144,-0.5366228552287695,71.27814910717589,16.48444982978367,5.239576876820281,11.24487295296339,0.0,0.0,0.0,0.0,-0.6848,-0.6848,1,0.011273440450534359,0,-0.004299321913067478,0.05090175354918669,0.06974992398873914,1216.9939824539651,1199.771064404674,0.5231214582915501,32.29524413790991,33.30710789796534,46.75244140625,0.2079751921568325,SELL,79.2,High,HOLD,0.0,0.0,0.0,1.0512412345424627,1.0003230378026582,1.0003230378026582,1.0
2022-06-07,1261.6346435546875,1269.9840987331656,1252.2159612910536,1260.3378265980741,12358255,-0.6848,0.0,1.0,0.0018789390542470752,0.0018771760562939876,1244.69453125,1217.1230712890624,1179.5344970703125,0.016333906939958263,0.017784447914096946,0.07675427789884326,0.014083425445618563,0.11404360095309252,71.07158894673478,19.253759460335687,8.042413393523361,11.211346066812325,0.0,0.0,0.0,0.0,-0.6848,-0.6848,1,-0.021098155633633087,0,0.0018789390542470752,0.017784447914096946,0.07675427789884326,1225.1104662904602,1205.6628338475325,0.5860121612701591,27.75215499576867,36.13661718810692,63.747314453125,0.20423537873979658,SELL,79.58,High,SELL,-0.0018771760562939876,0.0,-0.0018771760562939876,1.0532164527534795,0.9984470167093665,1.0003230378026582,0.998124584736734
2022-06-08,1239.4755859375,1265.3884552322884,1235.949206752914,1261.6346065371608,12479250,0.31895,0.2240833342075348,4.0,-0.017563767553777532,-0.01771984070765857,1252.9347900390626,1222.221484375,1185.7852294921875,0.020544034943598997,-0.01994957565153166,0.022234321145055747,0.023751374220983477,0.009790621734217408,72.3462965704527,19.436356318680964,10.321201978554882,9.115154340126082,0.0,0.0,0.0,0.0,-0.6848,-0.6848,-1,-0.02244828135008584,0,-0.017563767553777532,-0.01994957565153166,0.022234321145055747,1227.7223062262856,1208.8830959513389,0.5924105567582576,12.385655821406631,35.233543393425656,41.2012939453125,0.21301107612532652,HOLD,78.7,Medium,SELL,0.01771984070765857,0.01771984070765857,0.01771984070765857,1.0347180037935033,1.0162970213580966,1.0182065815222412,1.0159688250212924
2022-06-09,1273.46484375,1275.3985751416717,1233.0825097662923,1233.0825097662923,17278305,0.7184,0.5434784293174744,1.0,0.027422289069769512,0.027053033452428495,1259.709912109375,1231.851806640625,1194.8706787109375,0.018300102008436514,0.011273440450534356,0.06309233999922359,0.03322908016115334,0.3845627742051807,68.28963162206863,22.069313382841074,12.67082425941212,9.398489123428954,0.2240833342075348,0.0,0.0,0.07469444473584491,0.31895,-0.6848,1,-0.06097367157760416,0,0.027422289069769512,0.011273440450534356,0.06309233999922359,1236.0391312305974,1215.0337385988305,0.8225870964413976,12.524832418969185,34.70619981793235,33.8756103515625,0.17564382736567216,SELL,82.44,High,HOLD,0.0,0.0,0.0,1.0630923399992236,1.0162970213580966,1.0182065815222412,1.0159688250212924
2022-06-10,1235.0164794921875,1269.4381532361936,1229.215044054509,1261.24792684013,18093057,0.7184,0.5434784293174744,1.0,-0.03019193222844907,-0.030657095339970325,1253.772021484375,1238.18330078125,1201.4148986816406,0.021739872335764132,-0.021098155633633042,0.03066258514059772,0.03256888458542953,0.04715462541030502,59.876733052341734,20.813563354048938,14.299372078339484,6.514191275709454,0.5434784293174744,0.2240833342075348,0.0,0.25585392117500305,0.7184,0.31895,-1,-0.043456056015193846,0,-0.03019193222844907,-0.021098155633633042,0.03066258514059772,1235.8531945508867,1216.9368567791503,0.8549809410449237,16.09346433048078,27.551497073155623,-29.689453125,0.1367162941355652,STRONG SELL,86.33,Very High,SELL,0.030657095339970325,0.030657095339970325,0.030657095339970325,1.0309955281173837,1.0479362413362565,1.049905249666464,1.0475978276359474
2022-06-13,1211.6514892578125,1216.156107684235,1190.4479609930536,1205.7819334162448,17620803,0.7184,0.5434784293174744,1.0,-0.018918767985980356,-0.019100017529940085,1244.2486083984375,1238.0968383789063,1206.7772155761718,0.02266119494848467,-0.022448281350085808,-0.022537904805797093,0.02121744323273079,-0.026101393479277757,54.01553579346773,17.728648146366368,14.985227291944861,2.7434208544215064,0.5434784293174744,0.5434784293174744,0.2240833342075348,0.4370133976141612,0.7184,0.7184,-1,-0.038641933803345185,0,-0.018918767985980356,-0.022448281350085808,-0.022537904805797093,1231.4528844976005,1216.4334884437849,0.8181003216798444,24.11663715360536,27.642203381049598,-47.6170654296875,0.1450326794549906,STRONG SELL,85.5,Very High,STRONG SELL,0.019100017529940085,0.019100017529940085,0.019100017529940085,1.0114903629263476,1.0681442138944939,1.0701511917735482,1.0677992743632234
